"","CO_I1","CO_I2","CO_I3","CO_I4","CO_I5","CO_I6","CO_I7","CO_I8","CO_I9","RS_I1","RS_I2","RS_I3","RS_I4","RS_I5","RS_I6","RS_I7","RS_I8","RS_I9","RS_I10","LOT_I1","LOT_I2","LOT_I3","LOT_I4","LOT_I5","LOT_I6","LOT_I7","LOT_I8","LOT_I9","LOT_I10","GPA"
"230",3,3,3,3,2,2,3,2,2,3,4,3,3,3,2,2,2,3,3,2,2,4,2,4,3,3,2,4,3,3.12
"231",3,4,4,4,3,2,2,3,1,3,3,3,3,3,2,2,3,3,2,2,3,2,5,4,5,4,4,5,3,2.29
"232",4,4,4,3,4,4,4,3,3,2,2,2,1,3,2,2,2,2,2,3,5,2,3,3,4,2,3,2,3,3.68
"233",4,3,4,3,3,3,3,3,2,2,3,4,2,3,3,3,3,4,3,4,4,4,4,5,5,4,4,4,4,3.38
"234",3,3,4,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,2,3,4,4,5,3,3,2,3,4,3.38
"235",4,4,4,2,4,2,3,4,2,3,3,3,3,3,2,2,3,3,3,4,2,4,4,5,2,4,1,3,3,3.39
"238",4,4,4,4,3,4,4,4,3,3,3,3,3,4,3,3,3,4,3,4,4,2,3,5,5,4,4,4,4,2.81
"239",4,4,4,4,4,4,4,4,4,2,3,3,3,2,2,2,2,3,2,4,2,3,2,4,5,2,4,4,3,3.59
"240",4,4,4,3,4,4,4,3,3,3,3,3,3,4,3,3,4,4,3,3,3,2,4,5,3,4,3,4,4,3.2
"241",3,2,3,3,2,3,3,3,1,2,2,2,3,2,1,2,2,4,3,4,4,2,3,5,5,4,1,3,2,3.42
"243",3,3,3,3,3,3,3,3,1,3,4,3,3,4,3,3,3,4,3,2,3,3,3,5,4,4,2,3,4,1.78
"244",4,4,4,4,3,3,3,3,1,3,4,3,3,3,4,3,4,4,4,4,5,2,4,5,5,4,3,4,5,3.21
"245",3,4,4,4,3,3,4,3,2,3,4,4,3,4,3,3,4,4,3,3,4,3,4,5,4,3,4,3,4,3.59
"246",3,3,3,3,3,2,3,3,2,3,4,4,3,4,4,4,4,4,4,5,5,3,5,5,5,5,5,5,5,3.38
"247",3,3,3,3,3,3,4,3,3,3,1,3,3,3,2,3,3,3,3,2,2,4,3,3,3,4,2,4,3,3.64
"248",3,3,3,3,2,3,3,3,2,4,4,4,3,4,4,4,4,4,4,5,4,2,5,4,3,4,4,5,5,2.64
"249",2,2,3,3,1,3,3,3,2,3,2,2,2,2,2,2,2,3,2,2,4,2,3,4,2,2,2,2,2,3.16
"250",4,4,4,3,4,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3.55
"251",4,3,4,4,3,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,5,4,5,5,4,5,4,5,5,3.46
"252",4,4,4,4,3,4,3,3,3,2,3,3,3,3,3,2,2,3,3,2,2,4,3,2,4,4,3,3,4,3.25
"253",4,3,4,3,4,4,3,3,3,3,4,4,3,4,4,4,4,4,3,4,3,5,5,4,5,5,4,5,5,3.07
"254",3,2,4,1,3,4,2,3,1,3,4,3,3,4,3,3,2,4,3,4,2,4,4,5,4,4,2,4,4,3.94
"256",4,2,4,2,2,4,3,4,2,3,3,4,3,4,3,3,3,4,4,4,5,3,5,5,5,3,4,4,5,3.25
"257",3,3,3,3,3,3,4,2,2,3,3,3,3,4,3,3,3,4,3,4,3,2,3,5,5,4,3,4,4,3.38
"258",3,4,4,3,2,3,3,2,2,2,4,3,2,3,3,2,2,3,3,4,3,2,4,5,5,1,3,1,2,2.99
"259",3,4,3,4,2,3,2,3,2,2,2,2,2,3,2,2,2,3,2,3,3,2,2,4,3,4,1,2,2,3.12
"260",3,4,4,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,2,4,5,4,3,3.23
"261",4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,4,4,3,3,2.9
"262",4,2,3,3,3,3,3,3,2,3,3,3,4,3,2,2,3,4,3,4,5,3,3,3,4,4,3,4,3,3.03
"263",4,4,4,4,4,2,2,2,1,3,4,2,4,3,2,2,3,3,3,4,3,4,4,4,4,3,2,4,3,3.29
"264",3,2,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,2,4,4,4,4,2,4,3.72
"265",4,4,4,3,3,3,4,3,2,3,4,2,3,3,3,3,3,4,3,5,4,3,3,5,4,3,3,3,4,3.25
"266",3,2,4,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,4,3,3,2,5,4,3,2,3,4,3.51
"267",4,4,4,2,3,4,3,4,2,2,2,2,3,1,1,2,1,3,2,5,2,2,2,4,4,2,2,2,1,3.51
"268",3,2,4,3,3,4,3,3,3,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,3,3,4,5,2.99
"269",3,3,3,3,1,2,3,3,2,3,3,3,3,3,3,2,2,3,3,2,3,3,2,5,4,3,4,3,3,3.12
"270",3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2.81
"271",4,4,4,4,3,3,4,3,3,3,3,3,3,2,2,3,3,3,3,4,3,2,4,4,3,2,2,2,2,2.9
"272",3,3,4,3,4,3,4,4,3,3,4,3,3,4,3,4,4,3,3,4,3,2,4,4,5,4,4,3,3,3.64
"273",4,4,4,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3,4,4,2,5,3,2,4,3.46
"274",3,3,4,4,2,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,2,3,3,4,4,4,2,4,4,3.12
"275",3,4,3,4,3,3,3,3,3,1,1,1,2,1,1,1,2,1,1,1,1,3,1,4,3,2,3,2,1,2.6
"276",3,4,4,1,2,4,3,1,3,3,4,3,3,3,3,4,4,4,3,4,3,1,3,5,3,5,3,5,5,3.42
"277",4,4,4,3,4,4,4,3,3,3,4,3,3,3,3,3,3,4,3,5,4,1,5,5,5,2,4,2,3,3.72
"278",4,2,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,4,3,3,4,3,4,5,4,4,4,2,3,3.42
"279",4,4,4,3,3,4,3,3,2,3,4,4,4,3,3,3,3,3,3,4,3,3,4,4,5,2,2,2,2,3.16
"280",4,3,4,4,4,3,4,4,3,3,3,3,2,3,2,3,2,3,2,2,2,3,2,3,3,2,3,2,3,3.42
"281",3,3,3,3,4,4,2,2,2,3,3,3,2,3,3,3,3,3,3,2,3,3,4,4,2,4,3,4,4,3.2
"282",3,3,4,3,2,2,3,4,1,3,4,3,3,4,3,3,2,4,3,4,4,2,4,5,3,2,5,3,3,2.81
"283",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3.33
"285",3,4,4,3,3,4,3,4,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,4,4,3,2,3,4,2.9
"287",2,1,3,3,2,2,3,3,1,2,2,2,2,2,3,2,2,2,3,2,3,2,3,5,4,2,2,3,2,2.6
"289",4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,2,4,4,2,4,4,3,3,2.51
"290",3,3,4,3,3,4,3,3,2,3,3,3,3,3,2,3,2,3,2,2,4,4,3,5,3,3,3,3,3,3.38
"291",3,4,4,3,3,4,3,4,3,3,3,4,3,4,3,4,4,4,4,4,3,3,4,5,2,4,4,3,3,3.12
"292",3,3,4,3,3,3,2,3,2,3,3,3,3,3,3,3,3,4,3,2,2,3,2,4,4,2,3,4,4,3.59
"293",2,3,3,2,1,3,3,2,2,3,3,3,3,3,3,3,3,4,3,4,3,3,4,5,4,2,3,2,5,2.9
"294",3,2,3,1,1,3,4,3,2,3,3,2,3,3,2,2,3,3,3,2,4,3,2,4,3,3,4,4,4,3.9
"295",4,3,4,3,4,4,2,3,3,3,4,4,4,4,3,3,4,4,4,2,2,4,3,5,4,4,3,4,4,3.75
"296",3,3,4,3,3,4,3,3,3,3,3,4,4,4,3,3,3,4,3,3,2,3,4,3,3,3,3,4,5,3.54
"297",4,4,4,3,3,3,4,3,2,3,4,3,4,3,3,3,3,4,4,3,4,2,3,4,4,4,4,4,4,3.85
"298",3,2,3,2,2,3,2,2,2,3,3,2,3,2,2,2,3,2,2,4,2,3,2,3,5,4,1,2,2,2.6
"299",3,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,5,4,3,4,3,3,3.59
"300",3,3,4,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,2,4,4,5,2,3,2,4,3.03
"302",3,4,3,2,2,3,2,2,1,3,3,3,3,2,3,3,2,4,3,3,2,3,4,5,5,3,3,4,4,3.03
"303",3,3,4,4,4,3,4,4,4,3,3,4,3,4,3,3,3,4,4,3,3,3,4,4,4,3,3,3,4,3.2
"304",4,3,3,2,1,4,4,3,3,3,3,3,3,3,3,3,2,4,3,4,4,2,3,5,2,2,5,1,4,3.12
"305",4,2,4,4,1,3,2,1,2,4,4,3,3,4,3,3,4,4,4,2,4,3,4,3,2,4,4,3,4,3.46
"306",2,2,3,3,1,2,4,2,2,3,2,2,3,2,2,2,3,3,3,4,4,3,4,4,3,3,3,2,4,2.68
"307",3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,4,4,4,4,4,4,4,2,4,4,4,3.68
"308",3,4,4,4,2,3,3,3,2,3,3,3,3,2,2,2,3,4,2,3,4,2,2,4,2,4,2,3,4,2.77
"309",3,4,4,3,3,3,3,3,3,4,4,3,3,3,2,2,2,3,3,2,4,5,3,5,1,5,4,3,4,3.2
"310",3,4,3,3,2,3,3,2,2,3,4,3,3,3,3,3,3,3,3,5,4,2,5,5,5,2,3,3,4,3.12
"311",4,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,3,4,2,3,4,3,3.38
"312",3,3,2,4,3,3,4,2,3,2,1,3,3,3,2,3,1,1,3,1,3,3,3,2,3,3,3,3,3,3.38
"313",3,4,4,3,4,3,3,4,2,3,4,3,3,3,3,4,3,4,3,3,4,4,4,5,4,4,2,4,4,3.2
"314",4,4,4,3,3,4,3,3,3,3,4,4,3,4,4,4,4,4,4,5,5,3,4,5,4,2,5,4,4,2.86
"315",3,2,3,3,3,3,3,2,2,4,4,4,3,4,4,4,3,4,4,3,3,3,3,4,2,3,4,2,4,3.46
"316",3,2,3,4,2,3,3,3,2,3,3,2,3,3,2,2,2,2,3,2,2,2,3,4,2,4,2,2,2,3.03
"317",3,2,4,2,2,2,3,2,1,3,3,3,3,3,3,2,2,3,3,3,4,3,2,5,5,2,1,2,4,2.81
"320",3,3,3,3,4,4,3,3,2,2,3,2,3,3,2,3,2,2,3,4,4,1,4,5,5,3,3,2,4,2.73
"322",3,2,4,2,2,3,2,4,2,3,3,3,2,2,2,2,2,3,3,3,3,2,3,5,5,3,2,3,2,2.81
"323",4,4,4,3,4,4,4,3,2,3,4,4,3,3,3,3,3,4,3,4,2,4,4,5,4,4,5,4,4,3.25
"325",3,4,3,1,3,3,3,3,1,3,3,2,3,3,1,2,3,2,3,1,1,3,2,4,3,1,2,2,2,3.68
"326",4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,4,4,4,2,5,3,5,5,5,4,3,4,5,3.98
"327",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,3,5,4,5,5,3.29
"328",4,4,4,4,2,3,3,3,3,4,4,4,4,4,3,3,3,3,3,1,4,3,2,2,3,3,4,3,3,3.29
"329",4,2,4,4,3,3,2,3,2,4,3,3,2,3,2,2,3,3,3,4,4,3,4,4,4,4,3,4,2,2.81
"330",3,4,4,3,4,4,3,3,4,2,3,2,3,3,2,2,2,2,2,4,3,3,2,3,2,3,2,2,3,3.03
"331",3,3,3,2,2,3,3,2,2,3,3,2,3,3,2,3,3,3,2,3,4,2,3,5,2,2,5,4,2,2.16
"332",3,2,4,2,3,3,3,3,2,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,3,4,4,4,4,3.2
"334",4,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,4,3,4,4,4,3.25
"335",3,4,4,3,4,4,3,3,2,3,3,3,3,2,2,2,4,3,3,2,4,5,2,4,2,3,4,4,4,3.17
"336",2,2,2,3,1,2,2,2,1,3,3,3,3,4,1,2,2,3,3,2,2,2,5,5,1,2,4,2,3,3.03
"337",3,3,3,3,3,3,2,3,3,2,2,3,2,3,3,3,3,3,2,4,4,2,4,4,4,2,4,2,4,3.25
"338",4,2,3,2,3,3,3,2,3,2,3,2,3,3,2,2,2,3,2,2,2,3,2,4,4,2,2,2,3,3.25
"339",3,4,3,3,4,3,2,3,2,3,3,3,3,3,3,3,3,4,3,5,4,2,3,5,4,2,4,5,4,2.94
"340",2,2,3,2,2,3,2,2,2,3,3,2,2,2,2,1,2,3,2,4,2,2,4,5,4,3,3,3,2,3.2
"341",4,3,4,3,3,4,4,4,2,3,4,3,3,4,4,4,4,4,4,5,3,3,5,5,5,5,2,5,5,3.25
"342",3,3,4,2,2,3,3,4,1,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,5,3.65
"343",3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,4,4,4,4,3,3,4,4,3,3,2,4,2.42
"344",3,3,3,3,4,3,2,3,2,2,3,2,3,2,2,3,2,2,2,4,4,2,2,4,3,4,3,3,3,3.51
"345",2,2,2,2,1,3,2,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,3,4,3,4,4,4,4,2.6
"346",3,3,4,3,4,3,3,3,2,3,3,3,3,3,3,3,3,4,4,5,3,4,4,5,5,4,2,5,4,3.29
"347",3,3,4,3,3,3,3,3,2,4,4,4,4,3,3,3,3,3,4,4,4,2,3,4,3,2,5,2,3,2.62
"348",3,3,4,3,4,3,3,3,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,5,4,4,5,4,4,3.38
"350",3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,4,3,3,3,4,4,3,4,3,3,3.46
"351",3,3,3,3,1,2,2,2,1,3,3,3,3,3,3,3,2,3,2,4,2,4,3,5,2,5,3,4,4,2.86
"353",3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,4,4,1,4,2,5,3.2
"354",4,2,3,3,2,3,3,2,2,1,2,2,3,2,1,2,2,2,3,2,2,1,3,3,3,2,2,3,2,3.42
"355",2,3,3,2,1,2,2,2,2,4,3,3,3,3,3,2,4,3,3,4,3,3,4,4,3,3,2,3,3,2.38
"356",3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,3,4,3.16
"357",3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3.33
"358",3,2,3,2,3,3,3,2,2,3,3,3,4,3,3,3,4,4,3,5,4,1,5,4,3,2,4,2,4,3.25
"359",3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,4,4,4,2,3,3,3,3.42
"360",3,4,3,4,4,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,4,3,4,4,3,4,4,3,4,3.46
"361",2,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,2,2,3,4,5,2,4,4,4,4,4,2,4,2.9
"362",3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,4,4,3.9
"363",3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,4,3,2,4,4,3,5,2,5,4,4,4,4.11
"364",4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,5,4,2,2,2,3,3.25
"366",4,4,4,3,3,3,3,3,2,3,4,4,3,4,4,3,3,4,4,3,3,4,4,5,4,4,3,5,5,3.46
"367",4,3,4,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,2,3,4,2,3,2,3,3,2.6
"368",3,2,3,3,2,4,3,3,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,4,3,3,3,3,3,3.33
"369",3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,2,3,1,4,4,2,4,3,4,4,3.42
"371",4,4,4,3,4,4,4,3,2,3,4,4,3,4,3,3,3,4,3,3,2,3,4,5,4,4,4,4,4,3.68
"372",3,3,3,4,3,3,3,3,2,3,4,3,3,3,3,3,3,4,4,4,4,4,5,5,5,3,5,4,5,3.64
"373",4,4,4,3,4,4,3,4,2,3,3,3,3,3,3,3,2,3,3,3,2,3,2,4,4,3,3,3,3,3.59
"374",4,4,3,4,3,4,1,3,1,3,3,2,3,2,2,2,2,3,3,2,2,3,4,4,4,3,2,3,3,3.55
"375",4,4,4,4,4,4,4,4,4,3,3,4,2,3,3,3,3,3,3,4,3,2,2,2,5,2,3,3,2,3.81
"376",4,4,4,4,4,4,2,4,2,4,4,3,3,3,3,2,2,4,3,5,4,3,4,4,5,3,4,3,4,3.12
"378",3,3,4,4,4,4,4,4,4,3,4,3,3,4,4,3,3,4,3,3,2,4,2,3,4,2,2,4,3,3.12
"379",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,4,3,3,4,3,5,3.46
"380",4,3,4,3,3,3,2,3,1,3,2,4,4,2,1,2,2,3,2,1,2,3,4,5,5,3,5,3,4,3.64
"381",3,4,3,4,2,2,3,3,2,3,3,3,2,4,3,3,4,4,3,2,4,4,4,5,5,4,4,5,5,3.03
"383",4,4,3,3,2,2,1,1,2,3,3,3,2,3,2,2,2,3,2,1,2,3,2,3,4,3,2,3,3,2.86
"384",3,3,3,3,2,3,1,3,2,2,1,2,2,2,2,2,2,3,3,2,4,2,2,4,5,3,2,2,2,3.51
"385",4,4,3,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,4,2,2,4,5,5,4,2,4,4,2.77
"386",4,3,3,3,1,3,2,1,2,2,2,2,2,2,2,2,2,2,3,4,4,4,3,4,4,2,4,4,4,2.9
"387",3,4,4,3,3,3,3,3,3,2,3,2,2,3,2,2,2,3,2,2,4,4,3,3,2,2,3,4,3,2.51
"388",4,3,4,4,3,3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,4,4,4,5,3,4,4,4,4,3.2
"389",4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,3,3,1,4,4,5,5,4,2,3,4,3.78
"390",4,3,4,4,3,4,4,4,4,3,3,2,3,3,2,3,3,4,2,2,2,4,2,5,5,3,3,3,3,3.72
"391",4,4,4,3,4,4,4,3,2,3,3,3,2,3,3,2,3,3,3,3,2,3,3,4,4,3,2,3,3,3.59
"392",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.42
"393",3,3,3,2,2,3,2,4,3,3,3,3,3,4,3,3,3,3,3,1,3,2,3,5,5,3,3,3,3,3.68
"394",3,2,3,3,3,4,3,2,2,4,4,4,3,4,3,4,4,3,4,5,4,5,5,4,4,2,2,5,5,3.03
"395",4,4,4,4,4,3,3,3,3,1,1,1,3,2,1,1,1,2,2,2,3,3,2,4,5,3,3,3,2,3.81
"396",4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,2,4,3,4,3,4,3,3,3.16
"397",3,3,4,4,3,4,4,4,2,3,4,3,3,4,3,3,4,3,4,4,4,4,5,5,4,3,3,4,4,3.77
"398",4,3,4,3,4,4,3,4,2,3,4,3,3,4,3,3,3,3,4,3,3,3,5,5,4,3,4,3,3,3.46
"399",4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4,5,4,4,4,5,5,5,4,4,5,3.98
"400",3,4,3,2,3,2,2,3,2,1,3,1,2,2,1,1,1,2,1,1,1,3,2,4,4,3,3,2,1,3.46
"401",3,3,3,4,3,2,2,2,2,2,1,2,2,3,3,2,3,3,3,2,1,1,4,3,1,1,2,1,1,3.64
"403",3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,5,5,4,5,5,3,4,5,4,5,2.94
"404",3,3,3,2,1,3,3,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,3,4,1,2,4,2,2.5
"405",4,4,4,3,4,3,4,4,4,3,3,3,3,3,3,3,4,3,4,2,3,3,4,3,4,4,3,4,4,3.98
"406",4,4,4,4,3,4,3,4,3,3,3,4,3,4,3,3,3,4,3,4,2,2,4,5,2,4,1,4,4,3.64
"408",3,4,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,3,5,4,5,5,3,2,2,3,3.46
"409",3,3,4,4,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,2,4,3,3,5,4,3,4,3,3,3.03
"410",4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,4,3,5,4,3,4,3,4,3.62
"412",4,4,3,4,4,4,4,4,3,2,1,3,3,3,3,3,3,3,3,4,2,2,4,5,2,4,2,3,4,3.03
"413",3,3,4,3,2,3,3,2,2,4,4,3,4,4,3,3,3,3,3,2,2,3,2,4,5,4,1,3,4,3.07
"414",4,3,4,4,4,3,3,3,3,3,4,4,4,3,3,3,3,4,4,4,4,5,5,4,4,5,5,5,5,3.55
"415",4,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,5,4,4,4,3,3,3.29
"416",4,4,4,3,2,3,3,3,2,3,4,3,2,3,3,3,3,4,3,2,2,2,3,5,3,3,2,4,4,2.97
"417",4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,2,4,4,5,5,5,2,4,4,3.46
"418",3,2,4,3,3,3,3,4,2,2,3,2,3,2,1,2,2,3,2,2,2,2,2,3,4,3,3,3,4,3.07
"419",4,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,5,4,3,4,5,4,3,2,3,4,3.03
"420",4,4,4,2,4,2,2,2,2,3,3,3,2,3,3,2,2,3,3,2,2,3,1,4,4,4,3,4,4,3.12
"421",4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,3,4,5,3,3,1,4,3,3.46
"422",4,4,4,4,4,4,4,3,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,4,4,3,3,3,2,3.9
"424",3,3,3,2,3,4,3,3,2,2,2,2,2,2,1,2,2,3,2,1,1,2,2,4,3,2,1,2,1,3.57
"425",4,4,3,2,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3.33
"426",3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,4,2,4,4,3,3,4,4,4,3.29
"427",3,3,4,3,3,4,4,3,3,3,3,4,3,3,3,3,3,4,3,4,4,2,3,5,3,4,5,3,5,3.59
"428",4,4,4,4,4,4,4,4,3,2,3,3,3,3,2,3,3,3,3,3,2,1,3,4,2,1,1,2,2,4.02
"429",3,4,3,3,3,3,2,2,1,3,3,3,3,3,3,3,2,4,3,5,4,4,3,3,4,4,2,2,5,2.83
"430",3,3,4,3,2,3,3,3,2,1,2,1,2,1,2,1,1,1,1,2,2,2,1,4,3,2,2,2,2,2.81
"432",3,4,4,3,4,2,3,3,2,1,3,3,2,3,1,2,2,3,3,4,2,2,3,4,2,3,3,4,3,3.03
"433",4,4,4,3,4,3,3,4,3,1,3,3,3,2,1,2,2,2,2,1,3,2,3,5,5,2,2,2,2,4.07
"434",2,3,3,3,3,2,1,2,1,3,4,3,2,3,3,2,1,4,2,5,1,2,3,2,4,4,2,4,5,3.03
"435",3,2,4,3,3,4,3,3,1,3,4,3,3,3,3,3,3,4,3,3,4,2,4,4,5,4,4,2,4,3.68
"436",4,4,4,4,4,4,4,3,3,3,3,3,4,3,2,2,2,3,3,2,1,2,3,4,4,3,4,2,3,3.79
"437",4,4,4,3,3,4,3,3,2,3,1,3,4,4,2,3,4,3,3,3,4,3,4,3,4,4,4,3,4,3.2
"438",4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,5,2,4,4,4,3,3.82
"439",4,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,2,4,3,4,3,3,2,4,3.81
"440",3,3,4,3,3,2,3,3,3,3,1,2,3,3,3,3,2,3,3,2,2,2,3,5,2,3,2,3,3,3.81
"442",4,2,4,2,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,2,2,2,4,3,4,2,2,3,3.64
"443",4,4,4,4,3,4,3,3,3,3,3,4,3,4,4,3,3,4,3,3,3,3,4,5,4,4,5,4,4,3.07
"444",4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,4,3,5,2,4,3.46
"445",4,4,4,4,4,3,3,2,3,3,4,2,3,2,2,2,3,2,3,4,5,4,2,3,5,2,4,3,3,3.81
"446",3,3,4,4,2,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,2,3,4,4,3,3,4,3,2,3.25
"447",4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,5,5,4,4,4,3,4,4,5,4.07
"448",3,4,3,3,3,4,3,3,2,1,1,2,1,1,2,1,2,3,2,4,4,2,2,2,4,2,3,2,3,3.12
"449",3,4,4,4,1,2,2,1,1,3,2,4,3,4,1,3,1,1,2,4,1,4,3,4,5,4,2,3,4,3.77
"450",3,3,3,1,2,2,2,3,1,1,1,2,2,2,1,2,1,1,1,3,2,3,2,3,4,2,1,2,2,3.64
"451",4,3,3,2,3,3,3,2,2,4,3,4,3,3,2,2,3,3,3,4,5,2,5,4,5,4,4,4,4,4.07
"452",3,2,3,3,2,4,2,3,2,3,3,3,3,3,3,3,2,3,3,4,2,2,4,4,5,2,2,2,2,3.52
"453",2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,4,3.38
"455",4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,3,4,4,5,4,4,4,4,3.55
"456",4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,2,2,4,4,5,2,4,2,3,3.77
"457",4,3,4,3,3,4,2,3,2,2,3,2,2,3,2,2,3,3,3,2,3,1,2,5,4,3,3,3,2,3.29
"458",4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,2,4,3,3,4,5,2,5,2,2,3.68
"459",4,4,4,3,2,4,2,3,2,3,1,2,2,2,2,2,2,2,1,1,2,2,2,4,3,2,3,2,2,3.98
"460",3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,3,4,2.9
"461",3,4,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,4,4,4,5,4,4,2,4,4,3.42
"462",4,4,4,3,4,4,4,4,4,3,3,3,3,4,4,4,3,4,4,2,4,4,4,5,4,5,4,5,4,3.52
"463",3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,5,4,4,4,2,4,2,4,4,3.51
"464",4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,2,2,4,4,3,4,2,2,5,3.77
"465",3,3,4,2,3,4,4,3,2,2,2,2,3,2,2,2,2,2,2,3,3,2,3,5,4,2,3,2,3,3.38
"466",4,4,4,4,3,4,3,3,2,3,4,3,3,3,3,3,3,3,3,5,3,2,3,5,5,2,3,4,4,3.07
"468",4,3,4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,2,3,2,3,3,5,4,4,2,4,3,3.55
